Timestamp,AccelX,AccelY,AccelZ
0.000000,-0.036224,-0.941833,-0.144897
0.020602,-0.018112,-0.996170,-0.126785
0.052191,-0.018112,-0.978058,-0.108673
0.072539,-0.018112,-0.996170,-0.126785
0.093935,-0.018112,-1.014282,-0.126785
0.114935,-0.036224,-0.996170,-0.126785
0.135122,-0.036224,-0.978058,-0.163010
0.156550,-0.036224,-0.978058,-0.181122
0.176409,-0.054337,-0.959946,-0.108673
0.197544,-0.072449,-0.905609,-0.163010
0.218537,-0.072449,-0.923721,-0.163010
0.239973,-0.054337,-0.959946,-0.126785
0.260985,-0.054337,-0.959946,-0.126785
0.281757,-0.054337,-0.923721,-0.126785
0.302710,-0.036224,-0.941833,-0.126785
0.323500,-0.036224,-0.996170,-0.163010
0.344729,0.036224,-1.032394,-0.090561
0.365740,0.036224,-1.032394,-0.090561
0.386201,-0.018112,-0.978058,-0.126785
0.407273,-0.018112,-0.959946,-0.163010
0.428280,-0.018112,-1.014282,-0.144897
0.448505,0.000000,-1.032394,-0.144897
0.469533,-0.018112,-0.978058,-0.126785
0.489774,-0.036224,-0.978058,-0.144897
0.510802,-0.018112,-0.959946,-0.108673
0.531892,-0.036224,-0.941833,-0.072449
0.552993,-0.036224,-0.959946,-0.181122
0.573487,-0.036224,-0.996170,-0.181122
0.593822,-0.018112,-0.996170,-0.126785
0.614237,-0.018112,-0.978058,-0.144897
0.635231,-0.018112,-0.996170,-0.126785
0.655446,-0.018112,-0.978058,-0.144897
0.677411,-0.018112,-0.959946,-0.144897
0.697739,-0.018112,-0.978058,-0.163010
0.718833,-0.036224,-0.996170,-0.181122
0.738653,-0.054337,-0.996170,-0.163010
0.760677,-0.036224,-0.978058,-0.126785
0.781722,-0.054337,-0.959946,-0.144897
0.802256,-0.018112,-0.959946,-0.163010
0.823387,-0.018112,-0.978058,-0.144897
0.844695,-0.036224,-0.978058,-0.108673
0.865702,-0.018112,-0.978058,-0.126785
0.886751,0.000000,-0.959946,-0.144897
0.907712,0.000000,-0.978058,-0.163010
0.928815,0.000000,-0.959946,-0.144897
0.949969,0.018112,-0.959946,-0.144897
0.970944,0.018112,-0.941833,-0.108673
0.992179,0.018112,-0.959946,-0.163010
1.013126,0.036224,-0.941833,-0.163010
1.034226,0.018112,-0.959946,-0.144897
1.054423,0.018112,-0.959946,-0.144897
1.075527,0.036224,-0.941833,-0.144897
1.096547,0.018112,-0.941833,-0.163010
1.117641,0.036224,-0.959946,-0.163010
1.137962,0.036224,-0.978058,-0.144897
1.158442,0.018112,-0.978058,-0.108673
1.179507,0.018112,-0.959946,-0.126785
1.200493,0.000000,-0.978058,-0.163010
1.221591,0.036224,-0.996170,-0.181122
1.242660,0.036224,-0.996170,-0.163010
1.263453,0.036224,-0.996170,-0.144897
1.284505,0.018112,-0.996170,-0.126785
1.305916,0.036224,-0.978058,-0.126785
1.326757,0.018112,-0.996170,-0.126785
1.347798,0.036224,-0.996170,-0.144897
1.368772,0.036224,-1.014282,-0.108673
1.389833,0.018112,-0.996170,-0.108673
1.411003,0.018112,-0.996170,-0.126785
1.431945,0.018112,-0.978058,-0.163010
1.453014,0.000000,-0.978058,-0.144897
1.474205,0.000000,-0.978058,-0.144897
1.495220,0.036224,-0.941833,-0.126785
1.515377,0.018112,-0.978058,-0.163010
1.536542,0.036224,-1.014282,-0.126785
1.557137,0.036224,-0.978058,-0.108673
1.578819,0.054337,-0.959946,-0.108673
1.599778,0.054337,-0.941833,-0.108673
1.620422,0.054337,-0.959946,-0.126785
1.641465,0.054337,-0.959946,-0.144897
1.662035,0.054337,-0.941833,-0.126785
1.682310,0.054337,-0.959946,-0.108673
1.703400,0.036224,-0.978058,-0.108673
1.724182,0.036224,-1.014282,-0.126785
1.744352,0.054337,-1.014282,-0.163010
1.767002,0.054337,-1.014282,-0.108673
1.786727,0.054337,-0.959946,-0.090561
1.807758,0.018112,-1.032394,-0.144897
1.828747,0.000000,-1.068619,-0.163010
1.849767,-0.018112,-1.050507,-0.144897
1.871055,-0.036224,-1.032394,-0.163010
1.892008,-0.036224,-0.996170,-0.163010
1.913004,-0.036224,-0.959946,-0.144897
1.934122,-0.036224,-0.959946,-0.126785
1.955176,-0.036224,-0.941833,-0.126785
1.975444,-0.036224,-0.978058,-0.144897
1.996532,-0.036224,-0.978058,-0.144897
2.016650,-0.018112,-0.996170,-0.163010
